Center_x,Center_y
0,0
0,0
0,0
0,0
0,0
666.46,77.0518
667.619,79.2075
667.194,80.419
668.411,82.9841
668.891,86.9508
669,87
669.37,89.4573
670.012,90.6436
670.99,94.5532
670.5,95
670.013,96.7107
670.414,99.2081
670.457,100.299
672.5,103.5
673,104.5
672.041,106.799
671.937,108.072
674.5,109
675,109.5
673.057,110.308
673.501,111.973
676.5,112
676.5,113.5
677.5,113.5
678,113.5
678.5,113.5
679,115.5
679.5,116.5
680,115
680.221,116.366
681,116
681.5,117.5
682.5,118
682.5,117
681.999,117.704
683.5,118.5
683.5,120
683.5,119.5
684.5,120
685,120.5
685.5,122.5
685.5,123.5
685.5,123
686,123
686,126
687,126
687,126
687.462,127.668
688,130
688,130
688.5,129.5
689,130
689.5,131
690,133.5
690.5,134.5
690.5,134.5
691.5,135
691.5,134.5
692.5,137.5
692.5,138
693.5,138.5
694,137.5
694,139.5
695,141.5
695,142
696,142
696,142
697,143
697,145
697.5,146.5
698,146
699,146
699,147.5
699.5,149
700,150.5
700.5,150
701,150.5
701.5,152
702,154
702.5,154.5
703,155
703.5,154.5
704.5,157.5
704.5,158.5
706,158.5
706,159
706.5,161
707,161.5
707.5,161.5
708.5,162
708.5,163
709.5,165.5
710,164.5
710.5,165.5
711,166
711.5,166.5
712,167.5
712,169.5
712.444,170.731
713,170.5
714,170.5
714,170.5
714,172
715,173.5
715,172
715,173
715,175
715.5,176
715.5,175
715.5,175
715.5,178
715.5,179
716,179.5
715.5,180
715.5,180
715.174,181.654
714.251,183.03
715.5,184
715.5,183.5
715,185
715,186.5
715.431,187.688
714.921,188.456
714.5,187.5
714.5,187
714,189.5
714.179,190.45
714,189.5
713.5,190
713,189.5
713,191.5
713,192
712.5,191
712,191.5
713.5,192
712.82,192.472
711,192.5
711,193
710.5,192
710,193.5
709.892,194.757
709.5,193.5
709,193
709,193.5
708.464,194.499
708,194
708,193.5
707.5,194.5
707.129,195.498
707.5,195
707,195.5
706,195.5
705.464,196.538
705.5,196.5
705,197
705,197
704.263,198.755
704.206,199.564
704,198
704,198.5
703.732,199.24
704.017,199.362
703,198
702.5,197.5
702.5,197
702.15,197.589
702.111,198.142
702.5,197.5
702,197
702,197.5
701.907,198.175
701.5,197
701,197
701,196.5
701.165,197.918
701,196.5
701,196
700.5,196.5
700.24,197.31
700,196
700,195
700,195.5
700.299,196.47
700,195
699,194
699,194.5
698.955,195.247
698,193.5
698,193
698.5,193.5
698.156,194.6
697.5,193.5
698,192.5
696.5,193.5
696.448,194.348
697,193
697.5,193
697.43,194.043
697,193.5
697,193.5
699,193
699.693,193.827
700.798,194.595
701.9,194.714
702.932,194.917
703.434,194.446
