Center_x,Center_y
0,0
0,0
0,0
0,0
0,0
665.5,77
666.5,80
667.5,82
667.5,84
668.5,86
669,87
669.5,90
669.5,92
670.5,94
670.5,95
671.5,98
671.5,100
672.5,102
672.5,103.5
673,104.5
674,106.5
675,108.5
674.5,109
675,109.5
677,110.5
678,111.5
676.5,112
676.5,113.5
677.5,113.5
678,113.5
678.5,113.5
679,115.5
679.5,116.5
680,115
681,117
681,116
681.5,117.5
682.5,118
682.5,117
686.5,119
683.5,118.5
683.5,120
683.5,119.5
684.5,120
685,120.5
685.5,122.5
685.5,123.5
685.5,123
686,123
686,126
687,126
687,126
687,128
688,130
688,130
688.5,129.5
689,130
689.5,131
690,133.5
690.5,134.5
690.5,134.5
691.5,135
691.5,134.5
692.5,137.5
692.5,138
693.5,138.5
694,137.5
694,139.5
695,141.5
695,142
696,142
696,142
697,143
697,145
697.5,146.5
698,146
699,146
699,147.5
699.5,149
700,150.5
700.5,150
701,150.5
701.5,152
702,154
702.5,154.5
703,155
703.5,154.5
704.5,157.5
704.5,158.5
706,158.5
706,159
706.5,161
707,161.5
707.5,161.5
708.5,162
708.5,163
709.5,165.5
710,164.5
710.5,165.5
711,166
711.5,166.5
712,167.5
712,169.5
713,171.5
713,170.5
714,170.5
714,170.5
714,172
715,173.5
715,172
715,173
715,175
715.5,176
715.5,175
715.5,175
715.5,178
715.5,179
716,179.5
715.5,180
715.5,180
714.5,182
714.5,183
715.5,184
715.5,183.5
715,185
715,186.5
713,187.5
714,187.5
714.5,187.5
714.5,187
714,189.5
714,189.5
714,189.5
713.5,190
713,189.5
713,191.5
713,192
712.5,191
712,191.5
713.5,192
713.5,193
711,192.5
711,193
710.5,192
710,193.5
709,193.5
709.5,193.5
709,193
709,193.5
706,194
708,194
708,193.5
707.5,194.5
707.5,193.5
707.5,195
707,195.5
706,195.5
714,196.5
705.5,196.5
705,197
705,197
709,197
708,197
704,198
704,198.5
706,198.5
705,198.5
703,198
702.5,197.5
702.5,197
702.5,198.5
701.5,198.5
702.5,197.5
702,197
702,197.5
701.5,198.5
701.5,197
701,197
701,196.5
692,198.5
701,196.5
701,196
700.5,196.5
700.5,197.5
700,196
700,195
700,195.5
698,195.5
700,195
699,194
699,194.5
695,195
698,193.5
698,193
698.5,193.5
699.5,193.5
697.5,193.5
698,192.5
696.5,193.5
697.5,194.5
697,193
697.5,193
697,193
697,193.5
697,193.5
699,193
701,193
702,193
700,193
701,193
702,193
704,193
704,192
702,191
704,191
703,191
703,189.5
704,189
703,191
703,189
705,188
707.5,187
706.5,187
707.5,187
708,186
708,185
714,186
711,185
710,184
711.5,184.5
711,184.5
713.5,183.5
713,184
716.5,184.5
714,183
