Center_x,Center_y
0,0
0,0
0,0
0,0
0,0
500,58
501,60
501,61
502,63
502,64
501,65
501,67
501,68
501,69
503,71
504,72
503,73
504,76
504,77
505,79
505,80
505,81
505,82
506,82
506,83
507,85
508,85
507,85
509,86
509,86
509,86
509,87
510,87
510,86
510,87
511,87
511,88
512,88
512,88
513,89
512,88
512,90
512,90
513,90
513,90
513,92
514,92
514,92
514,92
515,94
515,94
515,94
515,95
516,97
516,97
517,97
517,97
517,98
518,100
518,101
518,101
518,100
519,101
519,103
519,104
520,103
520,104
520,104
521,106
521,106
522,106
522,106
522,107
522,108
523,110
523,109
524,109
524,110
524,112
525,113
525,112
525,113
526,114
526,115
527,116
527,116
528,117
528,118
528,119
529,118
529,119
530,120
530,122
531,121
531,121
532,122
532,123
532,124
533,123
533,124
534,124
534,125
534,127
535,127
535,128
535,127
535,127
535,129
536,130
536,129
536,129
536,131
536,132
536,131
536,131
536,133
537,134
537,134
537,134
537,135
536,137
536,137
536,138
536,137
536,139
536,139
536,140
536,140
536,141
535,141
535,142
536,142
535,143
535,142
535,142
535,143
535,145
534,143
534,143
534,144
533,145
533,145
533,144
533,144
533,145
532,146
532,145
532,145
532,145
532,146
531,145
531,145
531,145
531,146
530,146
530,146
530,146
530,147
529,147
529,147
529,148
529,148
529,148
528,148
528,148
528,149
528,148
527,148
527,148
527,148
527,148
527,149
526,148
526,148
526,148
526,148
526,148
526,147
526,147
526,148
525,147
526,146
525,147
525,148
525,147
525,146
525,146
526,147
525,146
524,145
524,146
524,146
524,144
523,144
523,145
523,145
523,145
523,144
523,145
522,145
523,145
523,145
523,145
523,146
523,145
523,146
523,146
524,145
524,144
525,144
526,144
527,145
526,143
526,143
527,144
528,143
527,142
528,142
529,142
529,142
529,140
530,140
530,140
530,140
531,139
531,139
531,139
532,139
532,138
533,138
533,138
534,137
534,138
535,138
535,137
536,137
537,137
537,137
538,137
539,137
538,137
539,137
539,137
540,137
541,136
542,138
542,136
543,136
544,137
545,136
545,136
545,137
546,137
547,136
547,137
548,138
548,137
548,138
548,139
549,138
549,138
548,139
549,139
549,139
549,139
549,140
549,141
549,140
549,141
549,142
549,142
549,142
549,142
548,143
549,143
548,144
548,144
548,144
547,145
547,144
547,146
546,147
547,147
546,148
546,148
546,149
545,149
545,150
544,150
544,151
545,151
544,153
544,153
543,153
542,153
543,154
542,155
541,155
541,155
541,156
541,156
541,157
539,157
539,158
539,158
539,158
538,159
538,159
538,160
537,161
536,161
536,161
536,161
536,162
536,162
535,162
534,163
534,163
534,164
533,163
533,163
533,164
533,164
533,165
533,165
533,164
531,165
531,164
531,165
531,165
531,165
531,165
531,166
530,166
530,166
530,167
530,167
