Center_x,Center_y
0,0
0,0
0,0
0,0
0,0
666.5,77
666.5,77
666.5,77
666.5,77
666.5,77
669,87
669.153,89.1276
669.64,91.1219
670.047,93.1048
670.5,95
670.987,97.0232
671.306,99.1115
671.783,101.224
672.5,103.5
673,104.5
673.503,106.139
673.964,107.386
674.5,109
675,109.5
675.574,110.583
676.001,111.297
676.5,112
676.5,113.5
677.5,113.5
678,113.5
678.5,113.5
679,115.5
679.5,116.5
680,115
681.573,117.28
681,116
681.5,117.5
682.5,118
682.5,117
682.794,118.415
683.5,118.5
683.5,120
683.5,119.5
684.5,120
685,120.5
685.5,122.5
685.5,123.5
685.5,123
686,123
686,126
687,126
687,126
688.043,127.652
688,130
688,130
688.5,129.5
689,130
689.5,131
690,133.5
690.5,134.5
690.5,134.5
691.5,135
691.5,134.5
692.5,137.5
692.5,138
693.5,138.5
694,137.5
694,139.5
695,141.5
695,142
696,142
696,142
697,143
697,145
697.5,146.5
698,146
699,146
699,147.5
699.5,149
700,150.5
700.5,150
701,150.5
701.5,152
702,154
702.5,154.5
703,155
703.5,154.5
704.5,157.5
704.5,158.5
706,158.5
706,159
706.5,161
707,161.5
707.5,161.5
708.5,162
708.5,163
709.5,165.5
710,164.5
710.5,165.5
711,166
711.5,166.5
712,167.5
712,169.5
712,169.5
713,170.5
714,170.5
714,170.5
714,172
715,173.5
715,172
715,173
715,175
715.5,176
715.5,175
715.5,175
715.5,178
715.5,179
716,179.5
715.5,180
715.5,180
715.001,182.428
714.843,183.311
715.5,184
715.5,183.5
715,185
715,186.5
714.269,187.093
714.074,187.453
714.5,187.5
714.5,187
714,189.5
713.568,189.23
714,189.5
713.5,190
713,189.5
713,191.5
713,192
712.5,191
712,191.5
713.5,192
711.095,192.542
711,192.5
711,193
710.5,192
710,193.5
709.117,193.41
709.5,193.5
709,193
709,193.5
708.383,193.312
708,194
708,193.5
707.5,194.5
707.191,194.577
707.5,195
707,195.5
706,195.5
705.661,195.239
705.5,196.5
705,197
705,197
703.947,197.463
703.644,197.703
704,198
704,198.5
696.201,197.855
696.144,197.693
703,198
702.5,197.5
702.5,197
695.745,197.62
695.467,197.633
702.5,197.5
702,197
702,197.5
694.219,197.036
701.5,197
701,197
701,196.5
692.816,196.398
701,196.5
701,196
700.5,196.5
693.791,196.1
700,196
700,195
700,195.5
693.366,195.19
700,195
699,194
699,194.5
691.096,194.342
698,193.5
698,193
698.5,193.5
690.825,194.109
697.5,193.5
698,192.5
696.5,193.5
690.827,193.913
697,193
697.5,193
690.818,193.92
697,193.5
697,193.5
699,193
692.017,193.504
692.439,193.477
692.469,193.481
692.489,193.47
693.033,193.354
693.363,193.065
693.578,192.918
