Center_x,Center_y
0,0
0,0
0,0
0,0
0,0
685.532,79.6262
674.784,86.4
673.091,89.5795
685.532,84.6029
685.532,89.5795
669,87
674.794,96.5358
675.286,98.5442
675.633,100.464
670.5,95
686.687,101.585
686.776,104.509
687.178,106.494
672.5,103.5
673,104.5
684.706,111.142
684.288,114.463
674.5,109
675,109.5
660.118,115.38
660.74,116.171
676.5,112
676.5,113.5
677.5,113.5
678,113.5
678.5,113.5
679,115.5
679.5,116.5
680,115
685.532,124.416
681,116
681.5,117.5
682.5,118
682.5,117
684.288,124.416
683.5,118.5
683.5,120
683.5,119.5
684.5,120
685,120.5
685.5,122.5
685.5,123.5
685.5,123
686,123
686,126
687,126
687,126
686.348,135.551
688,130
688,130
688.5,129.5
689,130
689.5,131
690,133.5
690.5,134.5
690.5,134.5
691.5,135
691.5,134.5
692.5,137.5
692.5,138
693.5,138.5
694,137.5
694,139.5
695,141.5
695,142
696,142
696,142
697,143
697,145
697.5,146.5
698,146
699,146
699,147.5
699.5,149
700,150.5
700.5,150
701,150.5
701.5,152
702,154
702.5,154.5
703,155
703.5,154.5
704.5,157.5
704.5,158.5
706,158.5
706,159
706.5,161
707,161.5
707.5,161.5
708.5,162
708.5,163
709.5,165.5
710,164.5
710.5,165.5
711,166
711.5,166.5
712,167.5
712,169.5
724.723,174.182
713,170.5
714,170.5
714,170.5
714,172
715,173.5
715,172
715,173
715,175
715.5,176
715.5,175
715.5,175
715.5,178
715.5,179
716,179.5
715.5,180
715.5,180
720.332,187.497
720.241,188.424
715.5,184
715.5,183.5
715,185
715,186.5
723.168,190.08
705.888,190.08
714.5,187.5
714.5,187
714,189.5
731.808,196.992
714,189.5
713.5,190
713,189.5
713,191.5
713,192
712.5,191
712,191.5
713.5,192
713.259,192.282
711,192.5
711,193
710.5,192
710,193.5
734.054,194.918
709.5,193.5
709,193
709,193.5
692.582,199.066
708,194
708,193.5
707.5,194.5
689.378,197.266
707.5,195
707,195.5
706,195.5
713.318,203.213
705.5,196.5
705,197
705,197
703.687,205.106
703.429,205.282
704,198
704,198.5
693.619,199.066
693.32,199.058
703,198
702.5,197.5
702.5,197
722.172,199.103
721.869,199.088
702.5,197.5
702,197
702,197.5
702,197
701.5,197
701,197
701,196.5
721.511,194.802
701,196.5
701,196
700.5,196.5
683.233,194.964
700,196
700,195
700,195.5
682.975,198.952
700,195
699,194
699,194.5
724.723,194.918
698,193.5
698,193
698.5,193.5
712.241,198.912
697.5,193.5
698,192.5
696.5,193.5
684.288,199.066
697,193
697.5,193
682.195,195.036
697,193.5
697,193.5
699,193
714.355,199.066
715.017,199.044
715.361,198.912
714.355,199.066
714.895,198.786
715.351,198.51
